"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Behn_2019",12,"Lotic","Ectotherm","Gut content (lethal)","Ben",36.21,NA,1,"1000m","Fish","Days",10,2013
"Behn_2019",11,"Lotic","Ectotherm","Gut content (lethal)","Ben",36.21,NA,7,"1000m","Fish","Days",16,2012
"Behn_2019",2,"Lotic","Ectotherm","Gut content (lethal)","Ben",36.21,NA,9,"1000m","Fish","Days",4,2012
"Behn_2019",2,"Lotic","Ectotherm","Gut content (lethal)","Ben",36.21,NA,6,"1000m","Fish","Days",28,2014
"Behn_2019",13,"Lotic","Ectotherm","Gut content (lethal)","Ben",36.21,NA,3,"1000m","Fish","Days",23,2013
"Burbank_2022",14,"Lotic","Ectotherm","Gut content (lethal)","Ben",43.46,NA,8,"10km","Fish","Months",165,2017
"Eriksen_2021",4,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,2,"100km","Fish","Months",11,2015
"Eriksen_2021",1,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",5,2015
"Eriksen_2021",5,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,8,"100km","Fish","Months",16,2015
"Eriksen_2021",1,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",2,2015
"Eriksen_2021",2,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,8,"100km","Fish","Months",3,2015
"Eriksen_2021",2,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,5,"100km","Fish","Months",4,2015
"Eriksen_2021",2,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",48,2015
"Eriksen_2021",1,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,8,"100km","Fish","Months",57,2015
"Eriksen_2021",6,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,2,"100km","Fish","Months",57,2015
"Eriksen_2021",5,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,5,"100km","Fish","Months",31,2015
"Eriksen_2021",8,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,8,"100km","Fish","Months",353,2015
"Eriksen_2021",3,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",16,2015
"Eriksen_2021",1,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,2,"100km","Fish","Months",2,2015
"Eriksen_2021",1,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",8,2015
"Eriksen_2021",6,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,11,"100km","Fish","Months",20,2015
"Eriksen_2021",3,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,2,"100km","Fish","Months",3,2015
"Eriksen_2021",6,"Marine","Ectotherm","Gut content (lethal)","Ben",75,NA,8,"100km","Fish","Months",10,2015
